,,Curriculum,,Normal,
5818,,0.001,,0.076,0.076
5819,,0.001,,0.016,0.016
5820,,0.002,0.151,0.005,0.005
5821,,0,,0.006,0.006
5822,,0.017,,0.003,0.003
5823,,0,,0.006,0.006
5824,,0.005,,0.002,0.002
5825,,0.001,,0.006,0.006
5826,,0.025,,0.035,0.035
5827,,0.006,,0.136,0.136
5828,,0.02,,0.018,0.018
5829,,0.003,,0.008,0.008
5830,,0.036,,0.043,0.043
5831,,0.023,,0.018,0.018
5832,,0.001,,0,0
5833,,0.008,,0.177,0.177
5834,,0.001,,0.02,0.02
5835,,0.001,,0.006,0.006
5836,,0,,0.451,0.451
5837,,0,,0.009,0.009
5838,,0.004,,0.04,0.04
5839,,0.001,,0.013,0.013
5840,,0.001,0.153,0.087,0.087
5841,,0.04,,0.056,0.056
5842,,0.002,,0.068,0.068
5843,,0.031,,0.009,0.009
5844,,0.006,,0.114,0.114
5845,,0.006,,0.014,0.014
5846,,0.01,,0.056,0.056
5847,,0.014,,0.207,0.207
5848,,0.001,,0.089,0.089
5849,,0.002,,0.005,0.005
5850,,0,,0.013,0.013
5851,,0.004,,0.016,0.016
5852,,0.001,,0.015,0.015
5853,,0.023,,0.032,0.032
5854,,0,,0.06,0.06
5855,,0.001,,0.007,0.007
5856,,0,,0.006,0.006
5857,,0,,0.021,0.021
5858,,0,,0.047,0.047
5859,,0.02,,0.013,0.013
5860,,0.003,0.164,0.137,0.137
5861,,0,,0.027,0.027
5862,,0.01,,0.015,0.015
5863,,0.004,,0.029,0.029
5864,,0.014,,0.006,0.006
5865,,0,,0.07,0.07
5866,,0.022,,0.028,0.028
5867,,0,,0.062,0.062
5868,,0,,0.003,0.003
5869,,0.001,,0.037,0.037
5870,,0.003,,0.056,0.056
5871,,0.016,,0.027,0.027
5872,,0.006,,0.044,0.044
5873,,0,,0.006,0.006
5874,,0.003,,0.007,0.007
5875,,0.003,,0.005,0.005
5876,,0,,0.026,0.026
5877,,0.003,,0.026,0.026
5878,,0.002,,0.164,0.164
5879,,0,,0.01,0.01
5880,,0.012,0.099,0.13,0.13
5881,,0.002,,0.007,0.007
5882,,0,,0.041,0.041
5883,,0.002,,0.076,0.076
5884,,0.006,,0.039,0.039
5885,,0.002,,0.016,0.016
5886,,0,,0.013,0.013
5887,,0,,0.004,0.004
5888,,0.002,,0.032,0.032
5889,,0.003,,0.025,0.025
5890,,0.041,,0.37,0.37
5891,,0,,0.019,0.019
5892,,0.005,,0.001,0.001
5893,,0.001,,0.044,0.044
5894,,0,,0.044,0.044
5895,,0.01,,0.087,0.087
5896,,0.035,,0.025,0.025
5897,,0.003,,0.037,0.037
5898,,0.002,,0.239,0.239
5899,,0,,0.005,0.005
5900,,0.067,0.181,0.275,0.275
5901,,0.068,,0.274,0.274
5902,,0.11,,0.054,0.054
5903,,0,,0.041,0.041
5904,,0.016,,0.031,0.031
5905,,0,,0.024,0.024
5906,,0.001,,0.257,0.257
5907,,0.002,,0.103,0.103
5908,,0.051,,0.031,0.031
5909,,0.001,,0.046,0.046
5910,,0,,0.014,0.014
5911,,0,,0.041,0.041
5912,,0.004,,0.136,0.136
5913,,0.001,,0.031,0.031
5914,,0.001,,0.023,0.023
5915,,0.002,,0.02,0.02
5916,,0.009,,0.043,0.043
5917,,0.001,,0.035,0.035
5918,,0.003,,0.017,0.017
5919,,0.004,,0.008,0.008
5920,,0.005,0.279,0.01,0.01
5921,,0.011,,0.011,0.011
5922,,0.001,,0.007,0.007
5923,,0.002,,0.009,0.009
5924,,0.003,,0.083,0.083
5925,,0.025,,0.013,0.013
5926,,0.013,,0.008,0.008
5927,,0.098,,0.009,0.009
5928,,0.016,,0.063,0.063
5929,,0.015,,0.017,0.017
5930,,0,,0.016,0.016
5931,,0,,0.013,0.013
5932,,0.125,,0.046,0.046
5933,,0.016,,0.014,0.014
5934,,0.009,,0.02,0.02
5935,,0.1,,0.002,0.002
5936,,0.003,,0.02,0.02
5937,,0.001,,0.004,0.004
5938,,0.001,,0.253,0.253
5939,,0.002,,0.017,0.017
5940,,0,0.441,0.016,0.016
5941,,0.002,,0.073,0.073
5942,,0,,0.042,0.042
5943,,0.014,,0.008,0.008
5944,,0.003,,0.029,0.029
5945,,0.005,,0.004,0.004
5946,,0.001,,0.004,0.004
5947,,0.005,,0.157,0.157
5948,,0.001,,0.008,0.008
5949,,0.001,,0.019,0.019
5950,,0.011,,0.142,0.142
5951,,0,,0.037,0.037
5952,,0.018,,0.005,0.005
5953,,0.004,,0.081,0.081
5954,,0.002,,0.022,0.022
5955,,0.004,,0.157,0.157
5956,,0.015,,0.001,0.001
5957,,0.01,,0.006,0.006
5958,,0.01,,0.043,0.043
5959,,0.007,,0.012,0.012
5960,,0,0.113,0.014,0.014
5961,,0,,0.002,0.002
5962,,0.001,,0.019,0.019
5963,,0.98,,0.005,0.005
5964,,0.001,,0.008,0.008
5965,,0,,0.02,0.02
5966,,0.005,,0.145,0.145
5967,,0.002,,0.366,0.366
5968,,0.001,,0.046,0.046
5969,,0.002,,0.008,0.008
5970,,0.001,,0.024,0.024
5971,,0.006,,0.007,0.007
5972,,0.001,,0.016,0.016
5973,,0.023,,0.025,0.025
5974,,0.055,,0.008,0.008
5975,,0.041,,0.112,0.112
5976,,0.004,,0.021,0.021
5977,,0.003,,0.062,0.062
5978,,0.001,,0.011,0.011
5979,,0.004,,0.66,0.66
5980,,0.005,1.136,0.009,0.009
5981,,0.004,,0.003,0.003
5982,,0.019,,0.01,0.01
5983,,0.001,,0.187,0.187
5984,,0,,0.01,0.01
5985,,0.001,,0.141,0.141
5986,,0,,0.016,0.016
5987,,0,,0.068,0.068
5988,,0.353,,0.007,0.007
5989,,0.013,,0.074,0.074
5990,,0.021,,0.057,0.057
5991,,0.007,,0.045,0.045
5992,,0.007,,0.169,0.169
5993,,0.005,,0.377,0.377
5994,,0.004,,0.012,0.012
5995,,0.004,,0.063,0.063
5996,,0.019,,0.005,0.005
5997,,0.001,,0.022,0.022
5998,,0.036,,0.036,0.036
5999,,0.002,,0.021,0.021
6000,,0.238,0.735,0.026,0.026
6001,,0.011,,0.202,0.202
6002,,0,,0.059,0.059
6003,,0.027,,0.06,0.06
6004,,0.015,,0.018,0.018
6005,,0,,56.452,0.038
6006,,0.002,,0.038,0.038
6007,,0.005,,0.024,0.024
6008,,0,,0.064,0.064
6009,,0.021,,0.178,0.178
6010,,0.098,,0.046,0.046
6011,,0.015,,0.054,0.054
6012,,0.042,,0.078,0.078
6013,,0.001,,0.036,0.036
6014,,0.001,,0.038,0.038
6015,,0.025,,0.043,0.043
6016,,0.001,,0.005,0.005
6017,,0,,0.051,0.051
6018,,0.098,,0.019,0.019
6019,,0.018,,0.032,0.032
6020,,0.012,0.392,0.038,0.038
6021,,0.012,,0.054,0.054
6022,,0.016,,0.001,0.001
6023,,0.001,,0.049,0.049
6024,,0.01,,0.016,0.016
6025,,0.002,,0.067,0.067
6026,,0.018,,0.014,0.014
6027,,0.001,,0.021,0.021
6028,,0.004,,0.013,0.013
6029,,0,,0.078,0.078
6030,,0.048,,0.01,0.01
6031,,0.003,,0.023,0.023
6032,,0.007,,0.03,0.03
6033,,0.003,,0.01,0.01
6034,,0.55,,0.047,0.047
6035,,0.02,,0.06,0.06
6036,,0.004,,0.017,0.017
6037,,0.004,,0.032,0.032
6038,,0.002,,0.005,0.005
6039,,0,,0.044,0.044
6040,,0.221,0.926,0.008,0.008
6041,,0.008,,0.015,0.015
6042,,0.001,,0.038,0.038
6043,,0.131,,0.106,0.106
6044,,0,,0.054,0.054
6045,,0.039,,0.095,0.095
6046,,0.027,,0.021,0.021
6047,,0.016,,0.011,0.011
6048,,0.005,,0.025,0.025
6049,,0.006,,0.001,0.001
6050,,0.001,,0.006,0.006
6051,,0.004,,0.008,0.008
6052,,0.255,,0.004,0.004
6053,,0.006,,0.085,0.085
6054,,0,,0.025,0.025
6055,,0.003,,0.006,0.006
6056,,0.004,,0.007,0.007
6057,,0.003,,0.02,0.02
6058,,0.001,,0.123,0.123
6059,,0.026,,0.02,0.02
6060,,0.016,0.552,0.006,0.006
6061,,0.013,,0.003,0.003
6062,,0.011,,0.018,0.018
6063,,0.005,,0.032,0.032
6064,,0.003,,0.041,0.041
6065,,0.007,,0.025,0.025
6066,,0.006,,0.009,0.009
6067,,0.001,,0.003,0.003
6068,,0.017,,0.137,0.137
6069,,0.011,,0.001,0.001
6070,,0.001,,0.008,0.008
6071,,0.022,,0.028,0.028
6072,,0.001,,0.013,0.013
6073,,0.119,,0.026,0.026
6074,,0.015,,0.035,0.035
6075,,0.001,,0.143,0.143
6076,,0.007,,0.015,0.015
6077,,0.004,,0.024,0.024
6078,,0.002,,0.074,0.074
6079,,0.013,,0.014,0.014
6080,,0.008,0.267,0.052,0.052
6081,,0.004,,0.03,0.03
6082,,0.01,,0.112,0.112
6083,,0.005,,0.005,0.005
6084,,0.001,,0,0
6085,,0.009,,0.013,0.013
6086,,0,,0.004,0.004
6087,,0.016,,0.046,0.046
6088,,0.001,,0.012,0.012
6089,,0.002,,0.057,0.057
6090,,0.001,,0.02,0.02
6091,,0.004,,0.025,0.025
6092,,0.048,,0.002,0.002
6093,,0,,0.002,0.002
6094,,0.001,,0.042,0.042
6095,,0.001,,0.005,0.005
6096,,0.024,,0.001,0.001
6097,,0.001,,0.033,0.033
6098,,0.006,,0.007,0.007
6099,,0.002,,0.006,0.006
6100,,0.001,0.137,0.073,0.073
6101,,0.002,,0.009,0.009
6102,,0.003,,0.001,0.001
6103,,0.007,,0.149,0.149
6104,,0.115,,0.003,0.003
6105,,0.017,,0.004,0.004
6106,,0.14,,0.001,0.001
6107,,0.01,,0.002,0.002
6108,,0,,0.003,0.003
6109,,0.003,,0.005,0.005
6110,,0.003,,0.01,0.01
6111,,0.006,,0.173,0.173
6112,,0.003,,0.11,0.11
6113,,0.002,,0.027,0.027
6114,,0.001,,0.047,0.047
6115,,0.002,,0.035,0.035
6116,,0.002,,0.007,0.007
6117,,0.003,,0.022,0.022
6118,,0.006,,0.292,0.292
6119,,0.06,,0.087,0.087
6120,,0.002,0.387,0.015,0.015
6121,,0.001,,0.006,0.006
6122,,0.05,,0.011,0.011
6123,,0,,0.035,0.035
6124,,0.005,,0.013,0.013
6125,,0.004,,0.004,0.004
6126,,0.001,,0.03,0.03
6127,,0.003,,0.019,0.019
6128,,0.004,,0.003,0.003
6129,,0.001,,0.016,0.016
6130,,0.009,,0.012,0.012
6131,,0.01,,0.005,0.005
6132,,0.066,,0.012,0.012
6133,,0.338,,0.003,0.003
6134,,0.006,,0.04,0.04
6135,,0.004,,0.059,0.059
6136,,0.001,,0.011,0.011
6137,,0.014,,0.018,0.018
6138,,0.001,,0.031,0.031
6139,,0.012,,0.028,0.028
6140,,0.002,0.532,0.02,0.02
6141,,0.002,,0.021,0.021
6142,,0.006,,0.006,0.006
6143,,0.016,,0.027,0.027
6144,,0.01,,0.002,0.002
6145,,0.024,,0.003,0.003
6146,,0.003,,0,0
6147,,0.013,,0.043,0.043
6148,,0.001,,0.008,0.008
6149,,0.007,,0.003,0.003
6150,,0.037,,0.085,0.085
6151,,0.026,,0.006,0.006
6152,,0.083,,0.066,0.066
6153,,0.002,,0.026,0.026
6154,,0.004,,0.063,0.063
6155,,0.004,,0.012,0.012
6156,,0.002,,0.005,0.005
6157,,0.001,,0.223,0.223
6158,,0,,0.031,0.031
6159,,0.008,,0.096,0.096
6160,,0.021,0.27,0.09,0.09
6161,,0.005,,0.061,0.061
6162,,0.003,,0.022,0.022
6163,,0.017,,0.044,0.044
6164,,0.002,,0.012,0.012
6165,,0.001,,0.01,0.01
6166,,0.001,,0.001,0.001
6167,,0.005,,0.099,0.099
6168,,0.183,,0.019,0.019
6169,,0,,0.163,0.163
6170,,0.027,,0.014,0.014
6171,,0.026,,0.022,0.022
6172,,0.005,,0.011,0.011
6173,,0.001,,0.03,0.03
6174,,0,,0.047,0.047
6175,,0.001,,0.007,0.007
6176,,0.002,,0.008,0.008
6177,,0.014,,0.002,0.002
6178,,0.005,,0.058,0.058
6179,,0.001,,0.008,0.008
6180,,0.012,0.311,0.002,0.002
6181,,0.005,,0.015,0.015
6182,,0.015,,0.004,0.004
6183,,0.01,,0.024,0.024
6184,,0.009,,0.07,0.07
6185,,0.002,,0.036,0.036
6186,,0.001,,0.019,0.019
6187,,0,,0.048,0.048
6188,,0.015,,0.042,0.042
6189,,0.009,,0.07,0.07
6190,,0.059,,0.006,0.006
6191,,0.019,,0.049,0.049
6192,,0.004,,0.092,0.092
6193,,0.046,,0.005,0.005
6194,,0.009,,0.002,0.002
6195,,0.003,,0.021,0.021
6196,,0.002,,0.119,0.119
6197,,0.008,,0.044,0.044
6198,,0.002,,0.037,0.037
6199,,0.004,,0.055,0.055
6200,,0.001,0.223,0.028,0.028
6201,,0.081,,0.079,0.079
6202,,0.006,,0.008,0.008
6203,,0.004,,0.001,0.001
6204,,0.03,,0.003,0.003
6205,,0,,0.001,0.001
6206,,0.017,,0.018,0.018
6207,,0.001,,0.005,0.005
6208,,0,,0.001,0.001
6209,,0.001,,0.005,0.005
6210,,0.003,,0.016,0.016
6211,,0.002,,0.026,0.026
6212,,0.042,,0.046,0.046
6213,,0.001,,0.001,0.001
6214,,0.001,,0.039,0.039
6215,,0.001,,0.018,0.018
6216,,0.001,,0.03,0.03
6217,,0.006,,0.001,0.001
6218,,0.002,,0.212,0.212
6219,,0.013,,0.016,0.016
6220,,0.011,0.223,0.007,0.007
6221,,0.002,,0.005,0.005
6222,,0.002,,0.006,0.006
6223,,0.014,,0.006,0.006
6224,,0.013,,0.021,0.021
6225,,0.001,,0.001,0.001
6226,,0.004,,0.004,0.004
6227,,0.012,,0.011,0.011
6228,,0.003,,0.021,0.021
6229,,0,,0.009,0.009
6230,,0.003,,0.041,0.041
6231,,0,,0.013,0.013
6232,,0.019,,0.013,0.013
6233,,0.01,,0.029,0.029
6234,,0.053,,0.016,0.016
6235,,0.029,,0.001,0.001
6236,,0.001,,0.042,0.042
6237,,0.004,,0.002,0.002
6238,,0.001,,0.076,0.076
6239,,0.011,,0.021,0.021
6240,,0.001,0.183,0.034,0.034
6241,,0.002,,0.074,0.074
6242,,0.03,,0.002,0.002
6243,,0.004,,0.024,0.024
6244,,0.001,,0.015,0.015
6245,,0.014,,0.004,0.004
6246,,0.042,,0.01,0.01
6247,,0.005,,0.044,0.044
6248,,0.012,,0.027,0.027
6249,,0,,0.009,0.009
6250,,0.005,,0.135,0.135
6251,,0.012,,0.009,0.009
6252,,0.003,,0.01,0.01
6253,,0.027,,0.035,0.035
6254,,0.35,,0.01,0.01
6255,,0.006,,0.008,0.008
6256,,0.004,,0.019,0.019
6257,,0.008,,0.028,0.028
6258,,0.002,,0.024,0.024
6259,,0.018,,0.001,0.001
6260,,0.017,0.562,0.025,0.025
6261,,0.025,,0.092,0.092
6262,,0.02,,0.003,0.003
6263,,0.007,,0.022,0.022
6264,,0,,0.002,0.002
6265,,0.011,,0.002,0.002
6266,,0.001,,0.004,0.004
6267,,0.01,,0.03,0.03
6268,,0.001,,0.002,0.002
6269,,0.043,,0.004,0.004
6270,,0.018,,0.004,0.004
6271,,0.005,,0.001,0.001
6272,,0.027,,0.025,0.025
6273,,0.001,,0.022,0.022
6274,,0.001,,0.013,0.013
6275,,0.003,,0.087,0.087
6276,,0.005,,0.001,0.001
6277,,0,,0.018,0.018
6278,,0.011,,0.003,0.003
6279,,0.001,,0.001,0.001
6280,,0.004,0.194,0,0
6281,,0.018,,0.001,0.001
6282,,0.014,,0.291,0.291
6283,,0.005,,0.018,0.018
6284,,0.021,,0.028,0.028
6285,,0.001,,0.047,0.047
6286,,0.001,,0.006,0.006
6287,,0.001,,0.004,0.004
6288,,0.006,,0.018,0.018
6289,,0.034,,0.02,0.02
6290,,0.004,,0.617,0.617
6291,,0.001,,0.049,0.049
6292,,0.018,,0.003,0.003
6293,,0.023,,0.002,0.002
6294,,0.068,,0.1,0.1
6295,,0.002,,0.03,0.03
6296,,0.001,,0.195,0.195
6297,,0.049,,0.054,0.054
6298,,0.002,,0.01,0.01
6299,,0.021,,0.034,0.034
6300,,0.056,0.346,0.012,0.012
6301,,0.007,,0.05,0.05
6302,,0.007,,0.014,0.014
6303,,0.002,,0.161,0.161
6304,,0.001,,0.105,0.105
6305,,0,,0.02,0.02
6306,,0.006,,0.02,0.02
6307,,0.002,,0.003,0.003
6308,,0.01,,0.018,0.018
6309,,0.008,,0.006,0.006
6310,,0.003,,0.038,0.038
6311,,0.009,,0.002,0.002
6312,,0.01,,0.05,0.05
6313,,0.005,,0.01,0.01
6314,,0.003,,0.013,0.013
6315,,0,,0.032,0.032
6316,,0.011,,0.015,0.015
6317,,0.002,,0.005,0.005
6318,,0.09,,0.061,0.061
6319,,0.002,,0.081,0.081
6320,,0.021,0.199,0.059,0.059
6321,,0.001,,0.031,0.031
6322,,0.005,,0.12,0.12
6323,,0.019,,0.153,0.153
6324,,0.014,,0.033,0.033
6325,,0.002,,0.097,0.097
6326,,0.002,,0.005,0.005
6327,,0,,0.006,0.006
6328,,0.002,,0.022,0.022
6329,,0.011,,0.013,0.013
6330,,0.006,,0.018,0.018
6331,,0.001,,0.18,0.18
6332,,0,,0.067,0.067
6333,,0,,0.018,0.018
6334,,0.003,,0.186,0.186
6335,,0.015,,0.026,0.026
6336,,0,,0.002,0.002
6337,,0,,0.055,0.055
6338,,0.002,,0.053,0.053
6339,,0.008,,0.005,0.005
6340,,0.019,0.11,0.007,0.007
6341,,0.004,,0.048,0.048
6342,,0.001,,0.053,0.053
6343,,0.008,,0.063,0.063
6344,,0.001,,0.006,0.006
6345,,0.002,,0.002,0.002
6346,,0.01,,0.001,0.001
6347,,0.001,,0.002,0.002
6348,,0.001,,0.043,0.043
6349,,0.189,,0.016,0.016
6350,,0.027,,0.032,0.032
6351,,0,,0.005,0.005
6352,,0.001,,0.043,0.043
6353,,0.003,,0.016,0.016
6354,,0.002,,0.586,0.586
6355,,0,,0.035,0.035
6356,,0.04,,0.032,0.032
6357,,0.005,,0.071,0.071
6358,,0.004,,0.015,0.015
6359,,0.002,,0.002,0.002
6360,,0.031,0.332,0.006,0.006
6361,,0.001,,0.021,0.021
6362,,0.249,,0.074,0.074
6363,,0.003,,0.008,0.008
6364,,0.003,,0.006,0.006
6365,,0.001,,0.01,0.01
6366,,0.003,,0.079,0.079
6367,,0,,0.058,0.058
6368,,0.005,,0.266,0.266
6369,,0.01,,0.001,0.001
6370,,0,,0.003,0.003
6371,,0.133,,0.086,0.086
6372,,0.002,,0.031,0.031
6373,,0.007,,0.01,0.01
6374,,0.001,,0.014,0.014
6375,,0.01,,0.01,0.01
6376,,0.057,,0.143,0.143
6377,,0.01,,0.004,0.004
6378,,0.005,,0.018,0.018
6379,,0.022,,0.018,0.018
6380,,0.004,0.526,0.043,0.043
6381,,0.032,,0.008,0.008
6382,,0.056,,0.025,0.025
6383,,0.005,,0.045,0.045
6384,,0.034,,0.017,0.017
6385,,0.075,,0.015,0.015
6386,,0.013,,0.047,0.047
6387,,0.004,,0.001,0.001
6388,,0.001,,0.016,0.016
6389,,0.004,,0.013,0.013
6390,,0.005,,0.038,0.038
6391,,0,,0.016,0.016
6392,,0.002,,0.062,0.062
6393,,0.006,,0.029,0.029
6394,,0.015,,0.025,0.025
6395,,0.002,,0.092,0.092
6396,,0.015,,0.01,0.01
6397,,0.006,,0.004,0.004
6398,,0.006,,0.015,0.015
6399,,0.001,,0.003,0.003
6400,,0.026,0.308,0.019,0.019
6401,,0.002,,0,0
6402,,0.001,,0.044,0.044
6403,,0.006,,0.019,0.019
6404,,0.019,,0.006,0.006
6405,,0.002,,0.013,0.013
6406,,0,,0.012,0.012
6407,,0.001,,0.024,0.024
6408,,0.007,,0.04,0.04
6409,,0.074,,0.019,0.019
6410,,0.004,,0.115,0.115
6411,,0.001,,0.005,0.005
6412,,0.008,,0.016,0.016
6413,,0.019,,0.001,0.001
6414,,0.009,,0.046,0.046
6415,,0,,0.176,0.176
6416,,0.039,,0,0
6417,,0.005,,0.05,0.05
6418,,0,,0.023,0.023
6419,,0,,0.001,0.001
6420,,0.017,0.214,0.008,0.008
6421,,0.004,,0.008,0.008
6422,,0.007,,0.015,0.015
6423,,0.003,,0.13,0.13
6424,,0.001,,0.006,0.006
6425,,0,,0.007,0.007
6426,,0.006,,0.011,0.011
6427,,0.004,,0.001,0.001
6428,,0.001,,0.049,0.049
6429,,0,,0.025,0.025
6430,,0,,0.812,0.812
6431,,0.004,,0.006,0.006
6432,,0.001,,0.015,0.015
6433,,0.036,,0.048,0.048
6434,,0.076,,0.041,0.041
6435,,0.005,,0.001,0.001
6436,,0.002,,0.015,0.015
6437,,0.001,,0.052,0.052
6438,,0.002,,0.059,0.059
6439,,0.007,,0.037,0.037
6440,,0.001,0.161,0.12,0.12
6441,,0,,0.011,0.011
6442,,0.075,,0.129,0.129
6443,,0.001,,0.002,0.002
6444,,0.002,,0.026,0.026
6445,,0,,0.007,0.007
6446,,0.007,,0.046,0.046
6447,,0.001,,0.057,0.057
6448,,0.004,,0.015,0.015
6449,,0.003,,0.011,0.011
6450,,0.033,,0.027,0.027
6451,,0.001,,0.009,0.009
6452,,0.037,,0.011,0.011
6453,,0.004,,0.376,0.376
6454,,0.008,,0.013,0.013
6455,,0,,0.013,0.013
6456,,0.013,,0.01,0.01
6457,,0.018,,0.001,0.001
6458,,0.001,,1.101,1.101
6459,,0.006,,0.005,0.005
6460,,0.018,0.232,0.003,0.003
6461,,0.007,,0.056,0.056
6462,,0.009,,0.03,0.03
6463,,0.026,,0.011,0.011
6464,,0.003,,0.119,0.119
6465,,0.001,,0.027,0.027
6466,,0.002,,0.027,0.027
6467,,0,,0.017,0.017
6468,,0.001,,0.075,0.075
6469,,0.003,,0.031,0.031
6470,,0.001,,0.046,0.046
6471,,0,,0.035,0.035
6472,,0,,0.023,0.023
6473,,0.002,,0.008,0.008
6474,,0.023,,0.021,0.021
6475,,0.02,,0.014,0.014
6476,,0.184,,0.014,0.014
6477,,0.007,,0.014,0.014
6478,,0.037,,0.04,0.04
6479,,0,,0.112,0.112
6480,,0.002,0.328,0.003,0.003
6481,,0,,0.02,0.02
6482,,0.006,,0.011,0.011
6483,,0.005,,0.016,0.016
6484,,0,,0.027,0.027
6485,,0.007,,0.004,0.004
6486,,0.001,,0.054,0.054
6487,,0.001,,0.058,0.058
6488,,0,,0.017,0.017
6489,,0,,0.007,0.007
6490,,0.004,,0.068,0.068
6491,,0.004,,0.028,0.028
6492,,0.002,,0.026,0.026
6493,,0.001,,0.017,0.017
6494,,0.001,,0.002,0.002
6495,,0.001,,0.002,0.002
6496,,0.001,,0.035,0.035
6497,,0.061,,0.048,0.048
6498,,0.016,,0.022,0.022
6499,,0.004,,0.008,0.008
6500,,0,0.115,0.002,0.002
6501,,0.012,,0.003,0.003
6502,,0.002,,0.12,0.12
6503,,0.004,,0.001,0.001
6504,,0,,0.009,0.009
6505,,0.01,,0,0
6506,,0.006,,0.029,0.029
6507,,0.028,,0.091,0.091
6508,,0.007,,0.082,0.082
6509,,0.005,,0.025,0.025
6510,,0.001,,0.199,0.199
6511,,0,,0.035,0.035
6512,,0,,0.012,0.012
6513,,0.003,,0.017,0.017
6514,,0.005,,0.022,0.022
6515,,0.005,,0.045,0.045
6516,,0.023,,0.034,0.034
6517,,0.018,,0.158,0.158
6518,,0.001,,0.01,0.01
6519,,0.01,,0.131,0.131
6520,,0.079,0.219,0.014,0.014
6521,,0.001,,0.006,0.006
6522,,0.128,,0.119,0.119
6523,,0.006,,0.005,0.005
6524,,0,,0.007,0.007
6525,,0.019,,0.034,0.034
6526,,0.016,,0.001,0.001
6527,,0.005,,0.028,0.028
6528,,0.001,,0.019,0.019
6529,,0.001,,0.007,0.007
6530,,0.001,,0.001,0.001
6531,,0,,0.006,0.006
6532,,0.007,,0.12,0.12
6533,,0.002,,0.039,0.039
6534,,0.005,,0.019,0.019
6535,,0.011,,0.001,0.001
6536,,0,,0.025,0.025
6537,,0,,0.009,0.009
6538,,0.001,,0.037,0.037
6539,,0.005,,0.002,0.002
6540,,0.009,0.218,0.013,0.013
6541,,0,,0.008,0.008
6542,,0.003,,0.006,0.006
6543,,0.01,,0.026,0.026
6544,,0.008,,0.239,0.239
6545,,0.001,,0.024,0.024
6546,,0.029,,0.047,0.047
6547,,0.007,,0.01,0.01
6548,,0,,0,0
6549,,0.002,,0.021,0.021
6550,,0,,0.006,0.006
6551,,0.001,,0.155,0.155
6552,,0.006,,0.035,0.035
6553,,0.01,,0.103,0.103
6554,,0,,0.006,0.006
6555,,0,,0.01,0.01
6556,,0.003,,0.751,0.751
6557,,0.015,,0.021,0.021
6558,,0.001,,0.029,0.029
6559,,0.028,,0.012,0.012
6560,,0,0.124,0.012,0.012
6561,,0.014,,0.011,0.011
6562,,0,,0.025,0.025
6563,,0.004,,0.005,0.005
6564,,0.383,,0.083,0.083
6565,,0,,0.042,0.042
6566,,0.003,,0.206,0.206
6567,,0.001,,0.015,0.015
6568,,0.038,,0.195,0.195
6569,,0.005,,0.107,0.107
6570,,0,,0.028,0.028
6571,,0.002,,0.138,0.138
6572,,0.006,,0.042,0.042
6573,,0.002,,0.022,0.022
6574,,0.027,,0.013,0.013
6575,,0.003,,0.234,0.234
6576,,0.004,,0.026,0.026
6577,,0,,0.122,0.122
6578,,0.003,,0.032,0.032
6579,,0.002,,0.038,0.038
6580,,0.012,0.509,0.016,0.016
6581,,0.007,,0.273,0.273
6582,,0.001,,0.009,0.009
6583,,0.023,,0.014,0.014
6584,,0.008,,0.006,0.006
6585,,0,,0.026,0.026
6586,,0.012,,0.117,0.117
6587,,0.001,,0.029,0.029
6588,,0.002,,0.034,0.034
6589,,0.004,,0.043,0.043
6590,,0.005,,0.009,0.009
6591,,0.013,,0.009,0.009
6592,,0.001,,0.003,0.003
6593,,0.002,,0.05,0.05
6594,,0,,0.033,0.033
6595,,0.004,,0.164,0.164
6596,,0.156,,0.192,0.192
6597,,0.009,,0.172,0.172
6598,,0,,0.084,0.084
6599,,0,,0.026,0.026
6600,,0.001,0.249,0.036,0.036
6601,,0.146,,0.029,0.029
6602,,0,,0.031,0.031
6603,,0,,0.06,0.06
6604,,0,,0.094,0.094
6605,,0.009,,0.092,0.092
6606,,0.021,,0.013,0.013
6607,,0.004,,0.022,0.022
6608,,0.004,,0.007,0.007
6609,,0.002,,0.007,0.007
6610,,0.006,,0.269,0.269
6611,,0.018,,0.015,0.015
6612,,0,,0.025,0.025
6613,,0.006,,0.141,0.141
6614,,0.002,,0.032,0.032
6615,,0.002,,0.022,0.022
6616,,0.001,,0.003,0.003
6617,,0.011,,0.02,0.02
6618,,0,,0.002,0.002
6619,,0.012,,0.101,0.101
6620,,0.015,0.259,0.138,0.138
6621,,0,,0.029,0.029
6622,,0.001,,0.021,0.021
6623,,0.003,,0.008,0.008
6624,,0.007,,0.007,0.007
6625,,0.015,,0.489,0.489
6626,,0.003,,0.118,0.118
6627,,0.005,,0.033,0.033
6628,,0.003,,0.053,0.053
6629,,0.001,,0.022,0.022
6630,,0.007,,0.01,0.01
6631,,0.008,,0.023,0.023
6632,,0.001,,0.209,0.209
6633,,0.004,,0.016,0.016
6634,,0,,0.031,0.031
6635,,0.002,,0.014,0.014
6636,,0,,0.072,0.072
6637,,0.003,,0.027,0.027
6638,,0.001,,0.046,0.046
6639,,0,,0.108,0.108
6640,,0.001,0.065,0.1,0.1
6641,,0.002,,0.007,0.007
6642,,0.002,,0.052,0.052
6643,,0.003,,0.005,0.005
6644,,0.003,,0.045,0.045
6645,,0.128,,0.008,0.008
6646,,0,,0.011,0.011
6647,,0.244,,0.011,0.011
6648,,0.234,,0.107,0.107
