,,Curriculum,,Normal,
354,,0.102,,0.64,0.64
355,,0.095,,0.451,0.451
356,,0.16,,0.27,0.27
357,,0.179,,0.267,0.267
358,,0.116,,0.179,0.179
359,,0.392,,0.627,0.627
360,,0.167,3.287,0.296,0.296
361,,0.275,,0.47,0.47
362,,0.114,,0.296,0.296
363,,0.19,,0.567,0.567
364,,0.068,,0.47,0.47
365,,0.063,,0.332,0.332
366,,0.058,,0.51,0.51
367,,0.154,,0.422,0.422
368,,0.172,,0.574,0.574
369,,0.332,,0.435,0.435
370,,0.184,,0.299,0.299
371,,0.146,,0.306,0.306
372,,0.137,,1.116,1.116
373,,0.296,,0.29,0.29
374,,0.271,,0.315,0.315
375,,0.093,,0.33,0.33
376,,0.092,,0.342,0.342
377,,0.161,,0.266,0.266
378,,0.105,,0.646,0.646
379,,0.095,,0.456,0.456
380,,0.19,3.196,0.331,0.331
381,,0.097,,0.449,0.449
382,,0.098,,0.292,0.292
383,,0.086,,0.351,0.351
384,,0.231,,0.792,0.792
385,,0.112,,0.311,0.311
386,,0.115,,0.642,0.642
387,,0.063,,0.177,0.177
388,,0.451,,0.116,0.116
389,,0.069,,0.31,0.31
390,,0.043,,0.619,0.619
391,,0.113,,0.517,0.517
392,,0.219,,0.462,0.462
393,,0.105,,0.207,0.207
394,,0.177,,0.232,0.232
395,,0.073,,0.581,0.581
396,,0.079,,0.437,0.437
397,,0.099,,0.319,0.319
398,,0.294,,0.291,0.291
399,,0.221,,0.262,0.262
400,,0.041,2.786,0.545,0.545
401,,0.107,,0.267,0.267
402,,0.087,,0.261,0.261
403,,0.111,,0.316,0.316
404,,0.153,,0.21,0.21
405,,0.252,,0.501,0.501
406,,0.19,,0.328,0.328
407,,0.271,,0.209,0.209
408,,0.206,,0.395,0.395
409,,0.217,,0.356,0.356
410,,0.275,,0.399,0.399
411,,0.201,,0.288,0.288
412,,0.129,,0.298,0.298
413,,0.234,,0.52,0.52
414,,0.105,,0.283,0.283
415,,0.142,,0.19,0.19
416,,0.099,,0.34,0.34
417,,0.105,,0.14,0.14
418,,0.136,,0.124,0.124
419,,0.1,,0.386,0.386
420,,0.076,3.196,0.534,0.534
421,,0.139,,0.419,0.419
422,,0.096,,0.942,0.942
423,,0.202,,0.437,0.437
424,,0.276,,0.341,0.341
425,,0.068,,0.261,0.261
426,,0.23,,0.386,0.386
427,,0.101,,0.432,0.432
428,,0.298,,0.427,0.427
429,,0.234,,0.393,0.393
430,,0.209,,0.447,0.447
431,,0.223,,0.514,0.514
432,,0.093,,0.163,0.163
433,,0.087,,0.225,0.225
434,,0.099,,0.414,0.414
435,,0.134,,0.26,0.26
436,,0.15,,0.227,0.227
437,,0.168,,0.254,0.254
438,,0.174,,0.546,0.546
439,,0.106,,0.165,0.165
440,,0.091,3.178,0.229,0.229
441,,0.058,,0.429,0.429
442,,0.09,,0.194,0.194
443,,0.155,,0.597,0.597
444,,0.106,,0.195,0.195
445,,0.2,,0.34,0.34
446,,0.108,,0.331,0.331
447,,0.225,,0.639,0.639
448,,0.058,,0.223,0.223
449,,0.049,,0.131,0.131
450,,0.057,,0.401,0.401
451,,0.26,,0.201,0.201
452,,0.057,,0.813,0.813
453,,0.047,,0.38,0.38
454,,0.056,,0.215,0.215
455,,0.182,,0.26,0.26
456,,0.148,,0.637,0.637
457,,0.05,,0.52,0.52
458,,0.152,,0.145,0.145
459,,0.115,,0.31,0.31
460,,0.025,2.198,0.234,0.234
461,,0.029,,0.569,0.569
462,,0.07,,0.204,0.204
463,,0.097,,0.424,0.424
464,,0.067,,0.198,0.198
465,,0.197,,0.43,0.43
466,,0.007,,0.231,0.231
467,,0.028,,0.224,0.224
468,,0.095,,0.312,0.312
469,,0.141,,1.076,1.076
470,,0.225,,0.205,0.205
471,,0.076,,0.314,0.314
472,,0.067,,0.365,0.365
473,,0.067,,0.423,0.423
474,,0.1,,0.157,0.157
475,,0.167,,0.287,0.287
476,,0.056,,0.4,0.4
477,,0.11,,0.152,0.152
478,,0.093,,0.321,0.321
479,,0.147,,0.593,0.593
480,,0.032,1.871,0.269,0.269
481,,0.093,,0.193,0.193
482,,0.1,,0.211,0.211
483,,0.07,,0.349,0.349
484,,0.217,,0.315,0.315
485,,0.479,,0.125,0.125
486,,0.072,,0.421,0.421
487,,0.101,,0.373,0.373
488,,0.11,,0.155,0.155
489,,0.101,,0.098,0.098
490,,0.551,,0.412,0.412
491,,0.124,,0.406,0.406
492,,0.11,,0.495,0.495
493,,0.095,,0.224,0.224
494,,0.127,,0.222,0.222
495,,0.145,,0.34,0.34
496,,0.116,,0.084,0.084
497,,0.076,,0.167,0.167
498,,0.094,,0.378,0.378
499,,0.112,,0.13,0.13
500,,0.678,3.571,0.197,0.197
501,,0.109,,0.907,0.907
502,,0.284,,0.24,0.24
503,,0.277,,0.193,0.193
504,,0.084,,0.149,0.149
505,,0.25,,0.46,0.46
506,,0.068,,0.335,0.335
507,,0.061,,0.351,0.351
508,,0.28,,0.234,0.234
509,,0.159,,0.381,0.381
510,,0.227,,0.162,0.162
511,,0.266,,0.084,0.084
512,,0.15,,0.347,0.347
513,,0.13,,0.202,0.202
514,,0.091,,0.156,0.156
515,,0.077,,0.202,0.202
516,,0.112,,0.262,0.262
517,,0.11,,0.329,0.329
518,,0.4,,0.759,0.759
519,,0.228,,0.428,0.428
520,,0.212,3.575,0.144,0.144
521,,0.103,,0.216,0.216
522,,0.068,,0.214,0.214
523,,0.094,,0.162,0.162
524,,0.099,,0.172,0.172
525,,0.167,,0.219,0.219
526,,0.353,,0.152,0.152
527,,0.077,,0.525,0.525
528,,0.071,,0.386,0.386
529,,0.09,,0.187,0.187
530,,0.085,,0.417,0.417
531,,0.174,,0.154,0.154
532,,0.093,,0.118,0.118
533,,0.147,,0.112,0.112
534,,0.111,,0.205,0.205
535,,0.053,,0.103,0.103
536,,0.052,,0.105,0.105
537,,0.077,,0.169,0.169
538,,0.037,,0.155,0.155
539,,0.038,,0.387,0.387
540,,0.04,2.029,0.243,0.243
541,,0.091,,0.263,0.263
542,,0.037,,0.614,0.614
543,,0.118,,0.149,0.149
544,,0.115,,0.333,0.333
545,,0.242,,0.57,0.57
546,,0.013,,0.178,0.178
547,,0.012,,0.287,0.287
548,,0.08,,0.225,0.225
549,,0.13,,0.077,0.077
550,,0.139,,0.109,0.109
551,,0.037,,0.095,0.095
552,,0.068,,0.331,0.331
553,,0.201,,0.225,0.225
554,,0.082,,0.173,0.173
555,,0.13,,0.301,0.301
556,,0.152,,0.215,0.215
557,,0.041,,0.477,0.477
558,,0.105,,0.137,0.137
559,,0.178,,0.214,0.214
560,,0.053,2.024,0.183,0.183
561,,0.039,,0.212,0.212
